Rk,Player,Season,Age,Tm,Lg,WS,OWS,OBPM,PER,BPM
107,DeAndre Jordan,2015-16,27,LAC,NBA,11.5,6,1.5,20.6,2.8
108,DeJuan Blair,2015-16,26,WAS,NBA,-0.1,-0.3,-8.1,5.4,-8.9
109,Delon Wright,2015-16,23,TOR,NBA,0.6,0.3,1.1,17.8,0.9
110,DeMar DeRozan,2015-16,26,TOR,NBA,9.9,7.5,3.2,21.5,2.5
111,DeMarcus Cousins,2015-16,25,SAC,NBA,5.7,2.4,2.7,23.6,3.3
112,DeMarre Carroll,2015-16,29,TOR,NBA,1.2,0.2,-0.8,11.9,0.3
113,Dennis Schröder,2015-16,22,ATL,NBA,2.2,-0.2,-0.3,15.5,-0.8
114,Deron Williams,2015-16,31,DAL,NBA,3.7,2.2,0.4,14.6,-0.3
115,Derrick Favors,2015-16,24,UTA,NBA,7.1,3.8,2.1,21.6,3.3
116,Derrick Rose,2015-16,27,CHI,NBA,0.4,-0.8,-0.6,13.4,-2.5
117,Derrick Williams,2015-16,24,NYK,NBA,3.6,2.4,1.5,17.2,0.3
118,Devin Booker,2015-16,19,PHO,NBA,1.9,1.2,-1.2,11.9,-2.8
119,Devin Harris,2015-16,32,DAL,NBA,2.5,1.2,-1.4,13.1,0.1
120,Devyn Marble,2015-16,23,ORL,NBA,-0.1,-0.4,-6,5.2,-6.2
121,Dewayne Dedmon,2015-16,26,ORL,NBA,2.4,1.2,-1.6,17,-0.9
122,Dion Waiters,2015-16,24,OKC,NBA,2.1,0.3,-2.4,9.4,-2.8
123,Dirk Nowitzki,2015-16,37,DAL,NBA,6.8,4.2,2.4,19,2.5
124,Donald Sloan,2015-16,28,BRK,NBA,2,1.7,-0.3,13.9,-1.7
125,Donatas Motiejūnas,2015-16,25,HOU,NBA,0.3,0,-2.8,11.3,-4.5
126,Doug McDermott,2015-16,24,CHI,NBA,2.8,2.1,-1,10.9,-2.9
127,Draymond Green,2015-16,25,GSW,NBA,11.1,6,2.6,19.3,5.5
128,Drew Gooden,2015-16,34,WAS,NBA,0,-0.4,-5,7.5,-6.3
129,Duje Dukan,2015-16,24,SAC,NBA,0,0,-4.3,4.2,-7
130,Dwight Howard,2015-16,30,HOU,NBA,6.6,3.5,0.3,18.9,0.1
131,Dwight Powell,2015-16,24,DAL,NBA,3.1,1.8,-0.6,16.8,0.1
132,Dwyane Wade,2015-16,34,MIA,NBA,4.9,2.4,2.3,20.3,1.9
133,Ed Davis,2015-16,26,POR,NBA,6.7,4.4,1,18.7,1.9
134,Edy Tavares,2015-16,23,ATL,NBA,0.2,0,-2.9,14.4,-1.8
135,Elfrid Payton,2015-16,21,ORL,NBA,2.2,0.5,-0.7,13.9,-1.2
136,Elijah Millsap,2015-16,28,UTA,NBA,0.1,-0.2,-5.9,6.5,-3.8
137,Elliot Williams,2015-16,26,MEM,NBA,0,0,-5.3,3.3,-7.9
138,Elton Brand,2015-16,36,PHI,NBA,0.2,-0.1,-4.7,11.4,-3.4
139,Emmanuel Mudiay,2015-16,19,DEN,NBA,-2.1,-3.3,-2.3,9.9,-4.2
140,Enes Kanter,2015-16,23,OKC,NBA,8.1,6,3.3,24,1.2
141,Eric Bledsoe,2015-16,26,PHO,NBA,2.5,1.6,2.5,20,3.3
142,Eric Gordon,2015-16,27,NOP,NBA,2.1,1.7,0.9,13.5,-0.1
143,Eric Moreland,2015-16,24,SAC,NBA,0,0,-4.4,7.4,-4.5
144,Erick Green,2015-16,24,TOT,NBA,0.1,0.1,-1.6,12.4,-1.9
145,Ersan İlyasova,2015-16,28,TOT,NBA,4.4,2.4,0.2,14.2,-0.2
146,E'Twaun Moore,2015-16,26,CHI,NBA,1.8,0.9,-1.9,11.4,-1.9
147,Evan Fournier,2015-16,23,ORL,NBA,5.7,4,0.1,14.6,-0.3
148,Evan Turner,2015-16,27,BOS,NBA,4,1,-0.9,13.6,0
149,Festus Ezeli,2015-16,26,GSW,NBA,2.7,1.4,-0.6,17.7,-0.1
150,Frank Kaminsky,2015-16,22,CHO,NBA,3.3,1.2,-1,12.5,-0.8
151,Garrett Temple,2015-16,29,WAS,NBA,2.7,1,-2.5,9.3,-2.1
152,Gary Harris,2015-16,21,DEN,NBA,4,2.8,-0.6,12.7,-0.9
153,Gary Neal,2015-16,31,WAS,NBA,1.4,0.9,-0.1,13.5,-1.5
154,George Hill,2015-16,29,IND,NBA,6.2,3.4,0.1,13.2,0.7
155,Gerald Green,2015-16,30,MIA,NBA,1.7,0.3,-2.1,10.1,-3.1
156,Gerald Henderson,2015-16,28,POR,NBA,2,1,-1.1,12.9,-1.8
157,Giannis Antetokounmpo,2015-16,21,MIL,NBA,7.1,4.2,1.3,18.8,2.1
158,Glenn Robinson,2015-16,22,IND,NBA,0.8,0.2,-1.6,11.4,-1.1
159,Goran Dragić,2015-16,29,MIA,NBA,4.7,2.4,0.1,15.5,-0.4
160,Gordon Hayward,2015-16,25,UTA,NBA,8.9,5.5,2.4,18.3,2.6
161,Gorgui Dieng,2015-16,26,MIN,NBA,5.9,3.4,-0.1,17.1,0.8
162,Greg Monroe,2015-16,25,MIL,NBA,7.5,5,2.7,21.8,2.1
163,Greg Smith,2015-16,25,MIN,NBA,0.2,0.1,-4.1,7.9,-5.5
164,Greivis Vásquez,2015-16,29,MIL,NBA,-0.3,-0.4,-3.4,7.4,-6.2
165,Harrison Barnes,2015-16,23,GSW,NBA,4.9,3.1,-0.2,12.3,-1.3
166,Hassan Whiteside,2015-16,26,MIA,NBA,10.3,5,1.7,25.7,4.1
167,Henry Sims,2015-16,25,BRK,NBA,0.4,0.2,-3.5,13.9,-4.3
168,Hollis Thompson,2015-16,24,PHI,NBA,1.2,0.7,-1.6,9.2,-3.4
169,Ian Clark,2015-16,24,GSW,NBA,0.9,0.3,-1.5,11.5,-1.9
170,Ian Mahinmi,2015-16,29,IND,NBA,6.2,2.9,-0.9,16.6,0.9
171,Iman Shumpert,2015-16,25,CLE,NBA,1.7,-0.1,-3,8.4,-1.5
