Player,Season,Team,GP,MP,O-PIPM,D-PIPM,PIPM,Wins Added
Greg Stiemsma,2014,NOP,55,"1,004.70",-3.4,1.06,-2.34,0.1
Mike Muscala,2014,ATL,22,219,-1.65,-0.69,-2.35,0
Toney Douglas,2014,TOT,61,702.3,-1.71,-0.71,-2.42,0
John Henson,2014,MIL,70,"1,850.50",-1.49,-0.94,-2.44,0
Thaddeus Young,2014,PHI,79,"2,710.00",-0.53,-1.92,-2.45,0
Caron Butler,2014,TOT,74,"1,830.00",-1.23,-1.23,-2.47,0
Dante Cunningham,2014,MIN,81,"1,631.40",-2.16,-0.32,-2.47,0
Steve Blake,2014,TOT,61,"1,540.30",-1.85,-0.64,-2.49,-0.1
Jordan Crawford,2014,TOT,87,"1,914.40",-0.81,-1.71,-2.52,-0.1
Anthony Bennett,2014,CLE,52,661.8,-2.25,-0.3,-2.55,-0.1
Aron Baynes,2014,SAS,67,592.2,-1.32,-1.23,-2.55,0
Nemanja Nedovic,2014,GSW,25,143.6,-1.77,-0.79,-2.56,0
Alexey Shved,2014,MIN,63,668.2,-2.23,-0.39,-2.61,-0.1
Jermaine O'Neal,2014,GSW,51,962.5,-2.11,-0.51,-2.62,-0.1
Glen Davis,2014,TOT,81,"1,816.30",-2.47,-0.16,-2.63,-0.3
Rasual Butler,2014,IND,61,452.9,-0.64,-1.99,-2.63,-0.1
Eric Gordon,2014,NOP,64,"2,051.10",0.22,-2.86,-2.64,-0.2
Will Barton,2014,POR,48,468.1,-2.43,-0.24,-2.67,-0.1
Lou Williams,2014,ATL,67,"1,571.10",0.24,-2.97,-2.72,-0.3
Quincy Pondexter,2014,MEM,15,269,-0.98,-1.74,-2.72,-0.1
Kendrick Perkins,2014,OKC,81,"1,586.90",-3.67,0.94,-2.73,-0.3
Rodney Stuckey,2014,DET,73,"1,944.80",-0.26,-2.47,-2.73,-0.3
Luke Ridnour,2014,TOT,65,"1,171.80",-1.46,-1.29,-2.75,-0.3
Luis Scola,2014,IND,100,"1,639.90",-2.88,0.05,-2.83,-0.6
Joel Freeland,2014,POR,61,749.7,-2.51,-0.34,-2.86,-0.2
Aaron Gray,2014,TOT,37,354.5,-2.57,-0.3,-2.87,-0.1
Ben McLemore,2014,SAC,82,"2,181.80",-1.72,-1.14,-2.87,-0.6
Ekpe Udoh,2014,MIL,42,800.8,-2.51,-0.37,-2.88,-0.2
Byron Mullens,2014,TOT,45,414.6,-1.42,-1.47,-2.89,-0.1
Amar'e Stoudemire,2014,NYK,65,"1,461.10",-0.96,-1.94,-2.9,-0.4
Chase Budinger,2014,MIN,41,750,-1.28,-1.63,-2.91,-0.2
Garrett Temple,2014,WAS,84,646.6,-2.58,-0.35,-2.93,-0.2
Brandon Rush,2014,UTA,38,417.7,-2.61,-0.42,-3.03,-0.2
Chris Singleton,2014,WAS,25,251.3,-2.06,-0.99,-3.04,-0.1
Shannon Brown,2014,TOT,29,251.4,-2.23,-0.81,-3.04,-0.1
Jason Terry,2014,BRK,35,569.2,-1.09,-1.98,-3.07,-0.2
Thomas Robinson,2014,POR,81,993.6,-2.46,-0.67,-3.13,-0.4
Kent Bazemore,2014,TOT,67,912.6,-2.63,-0.57,-3.2,-0.5
Jeffery Taylor,2014,CHA,26,628,-2.99,-0.22,-3.21,-0.4
Evan Turner,2014,TOT,93,"2,601.00",-1.91,-1.31,-3.22,-1.4
Tony Snell,2014,CHI,82,"1,276.10",-2.45,-0.77,-3.22,-0.8
Otto Porter,2014,WAS,40,325.4,-2.61,-0.73,-3.33,-0.2
Orlando Johnson,2014,TOT,45,395.4,-2.75,-0.63,-3.38,-0.3
Tony Wroten,2014,PHI,72,"1,757.70",-1.6,-1.81,-3.42,-1.2
Gary Neal,2014,TOT,56,"1,215.90",-0.83,-2.66,-3.5,-0.8
Tim Hardaway,2014,NYK,81,"1,873.10",-0.67,-2.9,-3.56,-1.3
Udonis Haslem,2014,MIA,62,820.1,-3.07,-0.56,-3.63,-0.6
Elliot Williams,2014,PHI,67,"1,154.00",-2.63,-1.02,-3.65,-1
Mike Scott,2014,ATL,87,"1,622.60",-1.04,-2.62,-3.67,-1.3
Alex Len,2014,PHO,41,361.8,-3.47,-0.21,-3.68,-0.3
Mo Williams,2014,POR,82,"2,012.90",-1.52,-2.16,-3.68,-1.5
Jodie Meeks,2014,LAL,77,"2,550.90",-0.24,-3.45,-3.69,-2
Archie Goodwin,2014,PHO,52,531.9,-2.99,-0.85,-3.84,-0.5
CJ McCollum,2014,POR,44,500.1,-2.71,-1.2,-3.91,-0.5
Kevin Seraphin,2014,WAS,57,582.4,-2.82,-1.09,-3.91,-0.6
Reggie Bullock,2014,LAC,45,400.5,-3.07,-0.83,-3.91,-0.4
J.J. Barea,2014,MIN,79,"1,465.70",-2.5,-1.47,-3.97,-1.5
John Lucas III,2014,UTA,42,592.2,-2.91,-1.09,-4,-0.7
Luc Mbah a Moute,2014,TOT,64,999.5,-3.02,-1,-4.02,-1
Donald Sloan,2014,IND,52,411.6,-2.15,-1.89,-4.05,-0.5
Meyers Leonard,2014,POR,44,365.7,-3.81,-0.28,-4.1,-0.4
Harrison Barnes,2014,GSW,85,"2,352.50",-3.3,-0.9,-4.2,-2.8
Enes Kanter,2014,UTA,80,"2,130.20",-1.8,-2.4,-4.21,-2.4
Shabazz Muhammad,2014,MIN,37,291.6,-1.93,-2.32,-4.25,-0.3
Marquis Teague,2014,TOT,40,444.1,-3.64,-0.63,-4.27,-0.6
O.J. Mayo,2014,MIL,52,"1,341.80",-2.45,-1.94,-4.39,-1.8
Marreese Speights,2014,GSW,86,"1,048.40",-3.56,-1.07,-4.63,-1.6
Tyshawn Taylor,2014,BRK,23,270.5,-2.41,-2.37,-4.77,-0.4
Eric Maynor,2014,TOT,31,325.6,-3.1,-2.05,-5.15,-0.6
