"PLAYER_ID","PLAYER_NAME","bref_Player","espn_player","espn_id","lcname","bref_id","Season","Age","Tm","TEAM","G","GS","MP","Pos","GSpct","OPIPM","DPIPM","PIPM","Wins_Added","DRTG_On_Off","ORPM","DRPM","RPM","WAR","PER","TS.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","poss","raptor_box_o","raptor_box_d","raptor_box","raptor_onoff_o","raptor_onoff_d","raptor_onoff","raptor_o","raptor_d","raptor","war","war_RS","predator_o","predator_d","predator","pace_impact","LA_RAPM","LA_RAPM__Def","LA_RAPM__Off","RAPM","RAPM__Def","RAPM__Off"
"2738","Andre Iguodala","Andre Iguodala","Andre Iguodala",2386,"andre-iguodala","iguodan01","2013-14",30,"GSW","GS",63,63,2040,"SF",1,1.527559937,2.566340833,4.09390077,8.914461366,4.913929658,"1.89","4.74","6.63","11.47",13.7,0.57,13.3,2.7,3.1,5.8,0.135,-0.1,2.4,2.3,2.2,4142,0.231418813,2.117860733,2.349279545,4.818594822,4.172336268,8.99093109,1.229324648,2.61707303,3.846397679,6.845597191,6.845597191,1.049225924,3.143094017,4.192319941,-0.27921626,4.86,3.25,1.61,5.87,3.52,2.35
"1889","Andre Miller","Andre Miller","Andre Miller",557,"andre-miller","millean02","2013-14",37,"TOT","DEN/WSH",58,2,982,"SG",0.0344827586206897,-0.338162606,0.469782462,0.131619857,1.703203377,1.857856094,"1.85","0.24","2.09","2.59",13.9,0.534,14.5,1.4,0.8,2.2,0.108,-0.3,1.1,0.8,0.7,1914,1.49912371935737,-0.993316880329154,0.505806839028213,-0.403145911815047,1.31376993123198,0.910624019416928,1.19357350224922,-0.566865573305643,0.626707928943574,1.673913216,1.673913216,0.22709220365047,-1.57275625129154,-1.34566404722571,-0.993436306819749,1.9,2.2,-0.3,2.26,1.68,0.58
"203460","Andre Roberson","Andre Roberson","Andre Roberson",2530596,"andre-roberson","roberan03","2013-14",22,"OKC","OKC",40,16,399,"SG",0.4,-2.145796098,0.265268997,-1.880527101,0.151165809,-1.632078348,"-1.56","0.34","-1.22","0.29",9,0.518,10.1,0.2,0.6,0.8,0.099,-3.8,1.4,-2.4,0,814,-2.422581993,1.948691157,-0.473890835,-0.883803806,1.431529277,0.54772547,-2.324782763,1.891278057,-0.433504706,0.472274405,0.472274405,-3.362744424,3.387781046,0.025036621,0.14358132,-2.38,-1.12,-1.26,0.18,0.34,-0.15
"200745","Andrea Bargnani","Andrea Bargnani","Andrea Bargnani",2987,"andrea-bargnani","bargnan01","2013-14",28,"NYK","NY",42,39,1257,"C",0.928571428571429,-1.583109368,-0.268209098,-1.851318466,0.480623329,0.186390986,"-3.31","-1.13","-4.44","-1.57",14.5,0.51,22.4,0.8,0.7,1.5,0.058,-0.7,-1.6,-2.3,-0.1,2396,-2.418904258,1.137547779,-1.281356479,-3.936178754,-2.146754383,-6.082933137,-2.901630408,0.563122803,-2.338507605,0.261726072,0.261726072,-1.841292385,0.159385612,-1.681906773,-0.789713499,-4.86,-1.71,-3.15,-3.6,-1.03,-2.57
"1905","Andrei Kirilenko","Andrei Kirilenko","Andrei Kirilenko",434,"andrei-kirilenko","kirilan01","2013-14",32,"BRK","BKN",45,4,857,"PF",0.0888888888888889,-1.149889245,-0.663836193,-1.813725438,0.362621657,-1.813038794,"-0.20","1.18","0.98","1.73",12.4,0.532,14.6,0.4,0.9,1.3,0.07,-1.1,0.8,-0.4,0.4,1674,-1.010362591,-0.179737701,-1.190100292,-1.448034815,-0.783947324,-2.231982138,-1.184269041,-0.30337882,-1.487647862,0.556538373,0.556538373,-1.007769047,-0.8528889,-1.860657947,0.796884475,0.18,0.2,-0.02,-1.17,-0.12,-1.05
"101106","Andrew Bogut","Andrew Bogut","Andrew Bogut",2747,"andrew-bogut","bogutan01","2013-14",29,"GSW","GS",67,67,1769,"C",1,-0.713653675,3.154673888,2.441020213,5.844845149,2.761307245,"-3.10","5.16","2.06","5.03",17,0.61,12.4,2.4,4,6.5,0.176,-0.2,3.2,3,2.2,3612,-1.532202618,4.952926018,3.420723401,-0.382155559,1.267990338,0.885834779,-1.350776044,4.412264549,3.061488504,5.261122124,5.261122124,-1.58101865,4.613414351,3.032395701,0.292569369,0.34,1.81,-1.48,0.68,1.44,-0.77
"101115","Andrew Bynum","Andrew Bynum","Andrew Bynum",2748,"andrew-bynum","bynuman01","2013-14",26,"TOT","CLE/IND",26,19,516,"C",0.730769230769231,-1.949224224,0.025397502,-1.923826721,0.154001797,-4.40314226,"-2.89","2.55","-0.34","0.65",15.2,0.456,24.3,-0.2,0.6,0.4,0.038,-1.4,-0.5,-1.9,0,1022,-4.691248347,0.1702045185,-4.521043828,-4.72715449935714,-1.68331545914286,-6.41046995871429,-4.94490837807143,-0.178617937214286,-5.12352631535714,-0.617972032,-0.617972032,-4.070136415,-1.75020862042857,-5.82034503571429,-0.565126238071429,-1.56,0.35,-1.92,-1.72,0.3,-2.02
"203094","Andrew Nicholson","Andrew Nicholson","Andrew Nicholson",6614,"andrew-nicholson","nichoan01","2013-14",24,"ORL","ORL",76,5,1174,"PF",0.0657894736842105,-2.368355675,0.508097774,-1.860257901,0.391290305,2.181459489,"-4.79","1.00","-3.79","-1.03",9.9,0.489,19.3,-0.4,1,0.6,0.025,-3.9,-1.2,-5.1,-0.9,2339,-3.558386619,-1.264518621,-4.82290524,-3.690730324,1.20890969,-2.481820634,-3.738620713,-0.790716391,-4.529337104,-1.059002195,-1.059002195,-3.875868494,-0.975776785,-4.85164528,-0.609797643,-2.16,0.14,-2.29,-1.7,0.12,-1.82
"2740","Andris Biedrins","Andris Biedrins","Andris Biedrins",2427,"andris-biedrins","biedran01","2013-14",27,"UTA","UTAH",6,0,45,"C",0,-0.133454976,0.154128823,0.020673848,0.073984304,6.11805328,"-5.11","2.56","-2.55","-0.01",2.4,0.412,5.7,-0.1,0,0,-0.033,-6.2,-2,-8.2,-0.1,92,-5.238743507,1.247225312,-3.991518194,-7.530194474,8.336278385,0.806083911,-5.997590739,2.875009632,-3.122581106,-0.008577881,-0.008577881,-6.410184044,1.199633968,-5.210550077,0.266765799,0.4,0.33,0.07,0.17,0.34,-0.17
"1712","Antawn Jamison","Antawn Jamison",NA,NA,NA,"jamisan01","2013-14",37,"LAC",NA,22,0,248,"PF",0,-1.687997129,0.718280701,-0.969716427,0.236028504,7.458597144,NA,NA,NA,NA,7.8,0.408,19.6,-0.3,0.4,0.1,0.019,-4.5,-0.3,-4.7,-0.2,510,-5.172049897,-0.267009703,-5.4390596,-4.669535131,7.789215653,3.119680522,-5.473702013,1.354945776,-4.118756237,-0.173951409,-0.173951409,-2.265505222,1.039757261,-1.225747961,0.42269131,2.75,1.86,0.89,1.23,1.74,-0.52
